SL.No.,CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2,TOTAL PASSENGERS
1,ABUDHABI,AHMEDABAD,44597.0,55527.0,84.098,393.701,100124.0
2,ABUDHABI,BENGALURU,72050.0,81142.0,614.549,887.763,153192.0
3,ABUDHABI,CHANDIGARH,7437.0,9117.0,0.0,0.0,16554.0
4,ABUDHABI,CHENNAI,71614.0,76888.0,86.347,251.239,148502.0
5,ABUDHABI,COIMBATORE,4395.0,6199.0,0.0,37.466,10594.0
6,ABUDHABI,DELHI,99046.0,103626.0,1384.241,2173.587,202672.0
7,ABUDHABI,HYDERABAD,58235.0,65088.0,320.054,967.986,123323.0
8,ABUDHABI,KANNUR,24015.0,31561.0,97.08619999999999,596.156,55576.0
9,ABUDHABI,KOCHI,104327.0,122451.0,264.2195,815.3935,226778.0
10,ABUDHABI,KOLKATA,5711.0,6265.0,0.0,29.345,11976.0
11,ABUDHABI,KOZHIKODE,47184.0,62956.0,94.421,718.5515,110140.0
12,ABUDHABI,LUCKNOW,13238.0,15025.0,0.0,247.459,28263.0
13,ABUDHABI,MANGALORE,22203.0,30289.0,29.35,10.829,52492.0
14,ABUDHABI,MUMBAI,133777.0,166716.0,1977.20533,4198.673615686275,300493.0
15,ABUDHABI,TIRUCHIRAPALLY,4172.0,5164.0,0.494,236.756,9336.0
16,ABUDHABI,TRIVANDRUM,42329.0,49607.0,3.933,535.628,91936.0
17,ADDIS ABABA,DELHI,40971.0,41821.0,179.15,894.189,82792.0
18,ADDIS ABABA,MUMBAI,35306.0,47685.0,1043.645,2791.774,82991.0
19,ADEN,MUMBAI,219.0,598.0,0.0,2.3889199999999997,817.0
20,AL AIN,KOZHIKODE,5546.0,7741.0,300.09,143.883,13287.0
21,ALMATY,DELHI,28212.0,29911.0,5.449,189.728,58123.0
22,ALMATY,GOA,5131.0,5265.0,0.0,20.60059,10396.0
23,AMSTERDAM,BENGALURU,18055.0,22311.0,897.892,1091.806,40366.0
24,AMSTERDAM,DELHI,57403.0,57977.0,1549.7974,2189.0195,115380.0
25,AMSTERDAM,MUMBAI,21970.0,26804.0,1339.1,995.361,48774.0
26,BAGHDAD,DELHI,8084.0,6833.0,0.12,4.2,14917.0
27,BAHRAIN,BENGALURU,11613.0,12519.0,1.989,181.187,24132.0
28,BAHRAIN,CHENNAI,14369.0,15722.0,3.442,180.428,30091.0
29,BAHRAIN,DELHI,37362.0,38083.0,33.285,218.433,75445.0
30,BAHRAIN,GOA,7155.0,8842.0,0.867,12.189,15997.0
31,BAHRAIN,HYDERABAD,12080.0,13931.0,3.213,101.107,26011.0
32,BAHRAIN,KANNUR,1173.0,1894.0,0.206,31.471,3067.0
